市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
海口	海口	46321	22203	79391		
三亚	三亚	45877	22990	89446		
儋州	儋州	39595	21212	100430		
五指山	五指山	37851	18020	36754		
文昌	文昌	40900	21742	66771		
琼海	琼海	41138	22881	70710		
万宁	万宁	40030	21834	58897		
定安	定安	37485	19571	46931		
屯昌	屯昌	38820	20349	42463		
澄迈	澄迈	40982	21963	97974		
临高	临高	35742	19373	59503		
东方	东方	41618	20648	54397		
乐东	乐东	36064	20070	45213		
琼中	琼中	38885	18604	41097		
保亭	保亭	38951	18417	48404		
陵水	陵水	37715	19594	66789		
白沙	白沙	38052	18340	41927		
昌江	昌江	42503	19857	69130		
